sample_nr,compound,Name,Type,Area,conc,pre_crop,trt,pre_crop_long
34,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Gly_w_08,Analyte,1.193,5.8,Gly,w,Glycine_max
35,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Med_w_08,Analyte,9.803,27.3,Med,w,Medicago_sativa
36,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Bra_w_06,Analyte,0.989,5.2,Bra,w,Brassica_napus
37,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Bra_b_06,Analyte,NA,NA,Bra,b,Brassica_napus
38,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Tri_w_11,Analyte,0.481,4,Tri,w,Triticum_aestivum
39,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Med_b_05,Analyte,NA,NA,Med,b,Medicago_sativa
40,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Bra_w_12,Analyte,16.178,43.2,Bra,w,Brassica_napus
41,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Pha_w_01,Analyte,5.97,17.7,Pha,w,Phacelia_tanacetifolia
42,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Gly_w_05,Analyte,2.782,9.7,Gly,w,Glycine_max
43,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Med_w_12,Analyte,13.403,36.3,Med,w,Medicago_sativa
44,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Gly_w_07,Analyte,1.894,7.5,Gly,w,Glycine_max
45,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Pha_w_11,Analyte,21.022,55.4,Pha,w,Phacelia_tanacetifolia
46,HDMBOA-Glc,20201001_VG_Soil_Bx_Exp12_Bra_w_07,Analyte,0.457,3.9,Bra,w,Brassica_napus
